l,a,b,x,y,z,label
59.7817,38.5819,52.7237,0.0489868,0.07791,0.105652,cart
74.846,19.1241,77.1717,0.0165497,0.0608258,0.1389,cart
58.1429,0.894772,25.6682,0.0383066,0.0475534,0.134578,cart
73.9712,0.00867176,53.121,0.0523778,0.10352,0.118381,cart
84.0548,4.45007,75.4172,0.0119276,0.0666712,0.0898794,cart
63.0299,34.7359,55.7829,0.029606,0.0648267,0.104534,cart
72.5668,9.15114,63.8644,0.0501339,0.11094,0.152727,cart
710636,25.7159,73.9737,0.0203387,0.045671,0.0577168,cart
64.9696,-9.60454,3.59405,0.0127942,0.03852128,0.0988418,cart
67.6863,30.0021,55.626,0.0344467,0.0684837,0.08765468,cart
73.1164,18.1596,74.8099,3.043657,0.0912496,0.115166,cart
77.5259,8.64672,72.7397,0.0253091,0.0449711,0.107687,cart
73.3778,-8.96654,-7.66513,0.0159777,0.0349474,0.0505176,cart
70.4816,-7.84987,-2.54253,0.0205825,0.036929,0.0507598,cart
72.179,21.811,11.0235,0.01423804,0.0316166,0.0439179,cart
74.7065,16.7533,75.1167,0.05379,0.100855,0.150321,cart
58.9891,49.6061,64.1069,0.0308955,0.0363475,0.068428,cart
72.5048,-11.2983,14.3006,0.0230467,0.0442825,0.0678469,cart
67.2038,-12.1225,6.10688,0.0259673,0.051513,0.0690729,cart
61.5372,38.4274,43.3203,0.0398442,0.0614128,0.087866,cart
66.8481,7.78307,52.9907,0.0444301,0.0802542,0.119504,cart
78.0117,14.9673,79.1864,0.0272585,0.0728172,0.0930377,cart
86.4898,-0.768505,72.0428,0.045575,0.0514388,0.0715172,cart
81.558,4.37366,67.6933,0.049279,0.0614264,0.0955985,cart
66.3354,-8.64376,-10.1258,0.025176,0.039697,0.0789394,cart
64.8352,25.9124,10.0391,0.160321,0.032243,0.0358828,cart
70.4266,15.6588,64.7521,0.0557672,0.113288,0.126739,cart
58.4099,30.1446,56.6428,0.0520841,0.0960864,0.152009,cart
69.4057,-13.6189,-17.144,0.0135074,0.0322724,0.053113,cart
85.0848,0.795648,46.8933,0.039622,0.0527928,0.10047,cart
85.5661,-6.60288,17.1156,0.0224342,0.0523905,0.0582005,cart
60.0955,35.2127,64.90841,0.0399008,0.0749575,0.142864,cart
75.9451,-9.65507,27.888,0.0189611,0.0335564,0.0503111,cart
91.8454,-8.92178,59.3025,0.0149522,0.0403345,0.0742474,cart
54.5661,38.9806,33.9996,0.0234587,0.0401689,0.0697358,cart
87.1083,-8.9091,8.12779,0.150521,0.035875,0.0623865,cart
85.8734,-9.40262,0.415626,0.0140572,0.0411358,0.049904,cart
74.5386,18.9394,61.8095,0.0292382,0.034274,0.0791885,cart
67.0109,10.7377,54.7525,0.0458096,0.0687297,0.0784283,cart
50.3017,46.5076,41.6348,0.0161987,0.0350574,0.0560096,cart
357.2353,36.5996,52.9919,0.0395303,0.069527,0.0784789,cart
77.7263,1.91299,45.0229,0.0360772,0.065363,0.124081,cart
59.7534,46.5921,66.7368,0.0251144,0.755258,0.0999005,cart
77.7263,1.91299,45.0229,0.0360772,0.065363,0.124081,cart
59.7534,46.5921,66.7368,0.0251144,0.0755258,0.0999005,cart
54.8944,3.20332,18.4297,0.013977,0.0227723,0.07432183,cart
68.5344,-5.46409,3.38141,0.00856084,0.0375377,0.0734469,cart
63.2545,32.3332,58.8527,0.0227278,0.0409894,0.0566149,cart
71.0216,30.5723,72.4925,0.0236621,0.0366976,0.0812581,cart
69.2086,33.7132,741.4742,0.0116414,0.0247177,0.0950761,cart
60.002,34.1207,52.6326,0.0311181,0.0393716,0.0599777,cart
59.5996,54.0274,63.9811,10.0266166,0.0476609,0.105974,cart
62.2431,27.9988,52.544,0.0313859,0.0766824,0.13144,cart
72.0111,-9.3526,-3.51472,0.0180797,0.0253215,0.0605332,cart
59.3443,-2.43733,8341283,0.0306372,0.0309615,0.0808447,cart
72.7419,8.25521,66.0517,0.0492915,0.114958,0.149283,cart
73.438,12.3838,16.5426,0.00809216,0.0342333,0.0693608,cart
76.4716,8.21329,70.6838,0.0421417,0.100912,0.152442,cart
53.7125,47.362,46.5818,0.0124508,0.0315933,0.0690334,cart
57.9147,41.9762,51.3293,0.0259736,0.0652185,0.0896659,cart
76.9861,1538918,77.8148,0.019775,0.0854639,0.144403,cart
71.4213,-12.1294,-14.1135,0.0185077,0.0383141,0.043345,cart
85.4227,1.96607,66.7684,0.0151355,0.0559622,0.0751163,cart
62.1057,40.5114,51.7167,0.0276424,0.0306679,0.0843249,cart
57.6265,3.38757,11.7619,0.0297209,0.0552815,0.0941744,cart
73.6767,9.79912,69.7281,0.0377256,0.105756,0.112493,cart
60.0598,49.5174,60.2662,0.0223254,0.0331258,0.0755562,cart
26.6859,-13.1293,22.3478,0.0296777,0.0647247,0.0739033,cactus
20.3631,1.30248,1.07952,0.0424621,0.0643682,0.177277,cactus
36.3063,-13.0742,20.6556,0.0308306,0.0381047,0.0618234,cactus
